id	species	island	country	region
AUSTR240-13	Cirripectes variolosus	Tubuai	Australs	South Pacific
Cfl-002	Cirripectes variolosus	Moorea	French Polynesia	South Pacific
Cfl-003	Cirripectes variolosus	Moorea	French Polynesia	South Pacific
Crv-001	Cirripectes variolosus	Kiritimati	Kiribati	Line Islands
Crv-002	Cirripectes variolosus	Kiritimati	Kiribati	Line Islands
Crv-003	Cirripectes variolosus	Kiritimati	Kiribati	Line Islands
Crv-004	Cirripectes variolosus	Kiritimati	Kiribati	Line Islands
Crv-005	Cirripectes variolosus	Kiritimati	Kiribati	Line Islands
Crv-006	Cirripectes variolosus	Kiritimati	Kiribati	Line Islands
Crv-007	Cirripectes variolosus	Kiritimati	Kiribati	Line Islands
Crv-008	Cirripectes variolosus	Kiritimati	Kiribati	Line Islands
Crv-009	Cirripectes variolosus	Kiritimati	Kiribati	Line Islands
Crv-010	Cirripectes variolosus	Kiritimati	Kiribati	Line Islands
Crv-011	Cirripectes variolosus	Kiritimati	Kiribati	Line Islands
Crv-012	Cirripectes variolosus	Kiritimati	Kiribati	Line Islands
Crv-013	Cirripectes variolosus	Kiritimati	Kiribati	Line Islands
Crv-014	Cirripectes variolosus	Kiritimati	Kiribati	Line Islands
Crv-015	Cirripectes variolosus	Kiritimati	Kiribati	Line Islands
Crv-016	Cirripectes variolosus	Kiritimati	Kiribati	Line Islands
Crv-017	Cirripectes variolosus	Kiritimati	Kiribati	Line Islands
Crv-018	Cirripectes variolosus	Kiritimati	Kiribati	Line Islands
Crv-019	Cirripectes variolosus	Kiritimati	Kiribati	Line Islands
Crv-020	Cirripectes variolosus	Kiritimati	Kiribati	Line Islands
Crv-022	Cirripectes variolosus	Nuku Hiva	Marquesas	Marquesas
Crv-023	Cirripectes variolosus	Nuku Hiva	Marquesas	Marquesas
Crv-024	Cirripectes variolosus	Nuku Hiva	Marquesas	Marquesas
Crv-025	Cirripectes variolosus	Nuku Hiva	Marquesas	Marquesas
