gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue,countryName
2236058173,821cc27a-e3bb-4bc5-ac34-89ada245069d,http://n2t.net/ark:/65665/3b47e4332-3cf8-4c89-a65e-5548d0dde4c3,Animalia,Chordata,Actinopterygii,Perciformes,Blenniidae,Cirripectes,Cirripectes vanderbilti,NA,SPECIES,"Cirripectes vanderbilti (Fowler, 1938)",Cirripectes vanderbilti,NA,UM,Johnston Atoll,United States Minor Outlying Islands,NA,1,bc092ff0-02e4-11dc-991f-b8a03c50a862,16.7295035,-169.5336477,NA,NA,NA,NA,NA,NA,2006-06-03T00:00:00Z,3,6,2006,2395805,2395805,PRESERVED_SPECIMEN,USNM,Fishes,446763,MHCV004,NA,NA,CC0_1_0,NA,"B. Bowen, M. Craig, L. Rocha, J. Eble & M. Gaither",NA,NA,2019-09-20T18:05:11Z,NA,NA,United States Minor Outlying Islands (the)
2235908744,821cc27a-e3bb-4bc5-ac34-89ada245069d,http://n2t.net/ark:/65665/361a18d2b-3378-42af-9823-69a5b10673e9,Animalia,Chordata,Actinopterygii,Perciformes,Blenniidae,Cirripectes,Cirripectes vanderbilti,NA,SPECIES,"Cirripectes vanderbilti (Fowler, 1938)",Cirripectes vanderbilti,NA,UM,Johnston Atoll,United States Minor Outlying Islands,NA,1,bc092ff0-02e4-11dc-991f-b8a03c50a862,16.7295035,-169.5336477,NA,NA,NA,NA,NA,NA,2006-06-03T00:00:00Z,3,6,2006,2395805,2395805,PRESERVED_SPECIMEN,USNM,Fishes,446761,MHCV002,NA,NA,CC0_1_0,NA,"B. Bowen, M. Craig, L. Rocha, J. Eble & M. Gaither",NA,NA,2019-09-20T18:05:11Z,NA,NA,United States Minor Outlying Islands (the)
2235839072,821cc27a-e3bb-4bc5-ac34-89ada245069d,http://n2t.net/ark:/65665/33af4019b-b6f6-40a0-9fc3-a2af87e86d52,Animalia,Chordata,Actinopterygii,Perciformes,Blenniidae,Cirripectes,Cirripectes vanderbilti,NA,SPECIES,"Cirripectes vanderbilti (Fowler, 1938)",Cirripectes vanderbilti,NA,UM,Johnston Atoll,United States Minor Outlying Islands,NA,1,bc092ff0-02e4-11dc-991f-b8a03c50a862,16.7295035,-169.5336477,NA,NA,NA,NA,NA,NA,2006-06-03T00:00:00Z,3,6,2006,2395805,2395805,PRESERVED_SPECIMEN,USNM,Fishes,446764,MHCV005,NA,NA,CC0_1_0,NA,"B. Bowen, M. Craig, L. Rocha, J. Eble & M. Gaither",NA,NA,2019-09-20T18:05:11Z,NA,NA,United States Minor Outlying Islands (the)
2235799951,821cc27a-e3bb-4bc5-ac34-89ada245069d,http://n2t.net/ark:/65665/325352796-7486-40c4-90e9-9b21ffdd9bf3,Animalia,Chordata,Actinopterygii,Perciformes,Blenniidae,Cirripectes,Cirripectes vanderbilti,NA,SPECIES,"Cirripectes vanderbilti (Fowler, 1938)",Cirripectes vanderbilti,NA,UM,Johnston Atoll,United States Minor Outlying Islands,NA,1,bc092ff0-02e4-11dc-991f-b8a03c50a862,16.7295035,-169.5336477,NA,NA,NA,NA,NA,NA,2006-06-03T00:00:00Z,3,6,2006,2395805,2395805,PRESERVED_SPECIMEN,USNM,Fishes,446762,MHCV003,NA,NA,CC0_1_0,NA,"B. Bowen, M. Craig, L. Rocha, J. Eble & M. Gaither",NA,NA,2019-09-20T18:05:11Z,NA,NA,United States Minor Outlying Islands (the)
2235795382,821cc27a-e3bb-4bc5-ac34-89ada245069d,http://n2t.net/ark:/65665/322b97c81-30f7-4d89-a46d-ea1a11a25b92,Animalia,Chordata,Actinopterygii,Perciformes,Blenniidae,Cirripectes,Cirripectes vanderbilti,NA,SPECIES,"Cirripectes vanderbilti (Fowler, 1938)",Cirripectes vanderbilti,NA,UM,Johnston Atoll,United States Minor Outlying Islands,NA,1,bc092ff0-02e4-11dc-991f-b8a03c50a862,16.7295035,-169.5336477,NA,NA,NA,NA,NA,NA,2006-06-03T00:00:00Z,3,6,2006,2395805,2395805,PRESERVED_SPECIMEN,USNM,Fishes,446760,MHCV001,NA,NA,CC0_1_0,NA,"B. Bowen, M. Craig, L. Rocha, J. Eble & M. Gaither",NA,NA,2019-09-20T18:05:11Z,NA,NA,United States Minor Outlying Islands (the)
1843576031,821cc27a-e3bb-4bc5-ac34-89ada245069d,http://n2t.net/ark:/65665/3eecf7e4b-32c5-46db-bd42-8a4940f7ae4c,Animalia,Chordata,Actinopterygii,Perciformes,Blenniidae,Cirripectes,Cirripectes vanderbilti,NA,SPECIES,"Cirripectes vanderbilti (Fowler, 1938)",Cirripectes vanderbilti,NA,US,Oahu,Hawaii,NA,1,bc092ff0-02e4-11dc-991f-b8a03c50a862,21.4389123,-158.0000565,NA,NA,NA,NA,NA,NA,1969-06-19T00:00:00Z,19,6,1969,2395805,2395805,MACHINE_OBSERVATION,USNM,Fishes,FIN26919,NA,NA,NA,CC0_1_0,NA,J. Randall,NA,NA,2019-10-16T21:48:48Z,NA,NA,United States
1322597497,821cc27a-e3bb-4bc5-ac34-89ada245069d,http://n2t.net/ark:/65665/3eea4c121-3a6d-4b9e-8f6f-1f8a7f3f6bfc,Animalia,Chordata,Actinopterygii,Perciformes,Blenniidae,Cirripectes,Cirripectes vanderbilti,NA,SPECIES,"Cirripectes vanderbilti (Fowler, 1938)",Cirripectes vanderbilti,NA,US,Hawaiian Islands,Hawaii,NA,1,bc092ff0-02e4-11dc-991f-b8a03c50a862,23.6523707,-166.547146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2395805,2395805,PRESERVED_SPECIMEN,USNM,Fishes,321091,NA,NA,NA,CC0_1_0,NA,NA,NA,NA,2019-09-20T18:05:11Z,NA,NA,United States
1321781593,821cc27a-e3bb-4bc5-ac34-89ada245069d,http://n2t.net/ark:/65665/3ca8882cd-44e3-40ed-9f14-580e1ec4d4a7,Animalia,Chordata,Actinopterygii,Perciformes,Blenniidae,Cirripectes,Cirripectes vanderbilti,NA,SPECIES,"Cirripectes vanderbilti (Fowler, 1938)",Cirripectes vanderbilti,NA,US,"Hanauma Bay, Oahu, east edge",Hawaii,NA,5,bc092ff0-02e4-11dc-991f-b8a03c50a862,21.2690358,-157.6937919,NA,NA,NA,NA,5.5,3.5,1951-09-16T00:00:00Z,16,9,1951,2395805,2395805,PRESERVED_SPECIMEN,USNM,Fishes,258324,NA,NA,NA,CC0_1_0,NA,W. Gosline & Holland,NA,NA,2019-09-20T18:05:11Z,NA,NA,United States
1321288289,821cc27a-e3bb-4bc5-ac34-89ada245069d,http://n2t.net/ark:/65665/3b4a82d1a-724f-4b70-ab54-fc0b58f82a1d,Animalia,Chordata,Actinopterygii,Perciformes,Blenniidae,Cirripectes,Cirripectes vanderbilti,NA,SPECIES,"Cirripectes vanderbilti (Fowler, 1938)",Cirripectes vanderbilti,NA,US,"Kaena Point, Oahu",Hawaii,NA,1,bc092ff0-02e4-11dc-991f-b8a03c50a862,21.5633971,-158.2551449,NA,NA,NA,NA,NA,NA,1950-03-19T00:00:00Z,19,3,1950,2395805,2395805,PRESERVED_SPECIMEN,USNM,Fishes,228163,NA,NA,NA,CC0_1_0,NA,NA,NA,NA,2019-09-20T18:05:11Z,NA,NA,United States
1320818393,821cc27a-e3bb-4bc5-ac34-89ada245069d,http://n2t.net/ark:/65665/39ff52f00-5658-481c-a029-f0d246f67058,Animalia,Chordata,Actinopterygii,Perciformes,Blenniidae,Cirripectes,Cirripectes vanderbilti,NA,SPECIES,"Cirripectes vanderbilti (Fowler, 1938)",Cirripectes vanderbilti,NA,US,"erritory of Hawaii, Oahu. Off breakwater in front of Beach Lab, Waikiki",Hawaii,NA,16,bc092ff0-02e4-11dc-991f-b8a03c50a862,21.2822932,-157.8310083,NA,NA,NA,NA,NA,NA,1949-09-07T00:00:00Z,7,9,1949,2395805,2395805,PRESERVED_SPECIMEN,USNM,Fishes,228162,NA,NA,NA,CC0_1_0,NA,"W. Gosline, D. Strasburg & Welsh",NA,NA,2019-09-20T18:05:11Z,NA,NA,United States
1320812140,821cc27a-e3bb-4bc5-ac34-89ada245069d,http://n2t.net/ark:/65665/39fa9eae1-4ea5-496c-915d-c988d29f28f2,Animalia,Chordata,Actinopterygii,Perciformes,Blenniidae,Cirripectes,Cirripectes vanderbilti,NA,SPECIES,"Cirripectes vanderbilti (Fowler, 1938)",Cirripectes vanderbilti,NA,US,"Hawaii: shallow water on reef off Mokuleia, Waialua, Oahu.",Hawaii,NA,1,bc092ff0-02e4-11dc-991f-b8a03c50a862,21.5766667,-158.1302777,NA,NA,NA,NA,NA,NA,1937-01-01T00:00:00Z,NA,NA,1937,2395805,2395805,PRESERVED_SPECIMEN,USNM,Fishes,108846,NA,NA,NA,CC0_1_0,NA,O. Degener,NA,NA,2019-09-20T18:05:11Z,NA,NA,United States
1319436766,821cc27a-e3bb-4bc5-ac34-89ada245069d,http://n2t.net/ark:/65665/362d40de7-5d72-4441-a330-94bc2dae1365,Animalia,Chordata,Actinopterygii,Perciformes,Blenniidae,Cirripectes,Cirripectes vanderbilti,NA,SPECIES,"Cirripectes vanderbilti (Fowler, 1938)",Cirripectes vanderbilti,NA,UM,"Johnston Island, 750 mile southwest of Honolulu northwest side and northeast side of reef.",United States Minor Outlying Islands,NA,73,bc092ff0-02e4-11dc-991f-b8a03c50a862,16.7295035,-169.5336477,NA,NA,NA,NA,NA,NA,1947-08-28T00:00:00Z,28,8,1947,2395805,2395805,PRESERVED_SPECIMEN,USNM,Fishes,142114,NA,NA,NA,CC0_1_0,NA,L. Schultz,NA,NA,2019-09-20T18:05:12Z,NA,NA,United States Minor Outlying Islands (the)
1318280390,821cc27a-e3bb-4bc5-ac34-89ada245069d,http://n2t.net/ark:/65665/32faba1b9-31e1-4663-91db-e61f6fe450ec,Animalia,Chordata,Actinopterygii,Perciformes,Blenniidae,Cirripectes,Cirripectes vanderbilti,NA,SPECIES,"Cirripectes vanderbilti (Fowler, 1938)",Cirripectes vanderbilti,NA,US,"Shallow water on reef at Mokuleia, Oahu, Hawaiian Territory",Hawaii,NA,3,bc092ff0-02e4-11dc-991f-b8a03c50a862,21.5841667,-158.1519444,NA,NA,NA,NA,NA,NA,1938-01-01T00:00:00Z,NA,NA,1938,2395805,2395805,PRESERVED_SPECIMEN,USNM,Fishes,109320,NA,NA,NA,CC0_1_0,NA,O. Degener,NA,NA,2019-09-20T18:05:12Z,NA,NA,United States
1317712517,821cc27a-e3bb-4bc5-ac34-89ada245069d,http://n2t.net/ark:/65665/3168de9af-985c-411e-908d-2de84727e4d1,Animalia,Chordata,Actinopterygii,Perciformes,Blenniidae,Cirripectes,Cirripectes vanderbilti,NA,SPECIES,"Cirripectes vanderbilti (Fowler, 1938)",Cirripectes vanderbilti,NA,US,Hawaii,Hawaii,NA,7,bc092ff0-02e4-11dc-991f-b8a03c50a862,19.8967662,-155.5827818,NA,NA,NA,NA,NA,NA,1926-09-06T00:00:00Z,6,9,1926,2395805,2395805,PRESERVED_SPECIMEN,USNM,Fishes,160687,NA,NA,NA,CC0_1_0,NA,W. Longley,NA,NA,2019-09-20T18:05:11Z,NA,NA,United States
1317391285,821cc27a-e3bb-4bc5-ac34-89ada245069d,http://n2t.net/ark:/65665/308593dae-2291-4144-9594-d37907e6eba9,Animalia,Chordata,Actinopterygii,Perciformes,Blenniidae,Cirripectes,Cirripectes vanderbilti,NA,SPECIES,"Cirripectes vanderbilti (Fowler, 1938)",Cirripectes vanderbilti,NA,US,Hanauma Bay,Hawaii,NA,2,bc092ff0-02e4-11dc-991f-b8a03c50a862,21.2690358,-157.6937919,NA,NA,NA,NA,NA,NA,1951-10-06T00:00:00Z,6,10,1951,2395805,2395805,PRESERVED_SPECIMEN,USNM,Fishes,258323,NA,NA,NA,CC0_1_0,NA,W. Gosline et al.,NA,NA,2019-09-20T18:05:11Z,NA,NA,United States
1317251252,821cc27a-e3bb-4bc5-ac34-89ada245069d,http://n2t.net/ark:/65665/302297563-2153-4118-8ac3-71f296b41b84,Animalia,Chordata,Actinopterygii,Perciformes,Blenniidae,Cirripectes,Cirripectes vanderbilti,NA,SPECIES,"Cirripectes vanderbilti (Fowler, 1938)",Cirripectes vanderbilti,NA,US,"Hawaii, Oahu, Waimea Bay",Hawaii,NA,4,bc092ff0-02e4-11dc-991f-b8a03c50a862,21.6415052,-158.0671269,NA,NA,NA,NA,7.5,1.5,1969-08-25T00:00:00Z,25,8,1969,2395805,2395805,PRESERVED_SPECIMEN,USNM,Fishes,205336,NA,NA,NA,CC0_1_0,NA,J. Randall et al.,NA,NA,2019-09-20T18:05:11Z,NA,NA,United States
473211000,5d6c10bd-ea31-4363-8b79-58c96d859f5b,urn:catalog:CAS:ICH:22850,Animalia,Chordata,Actinopterygii,Perciformes,Blenniidae,Cirripectes,Cirripectes vanderbilti,NA,SPECIES,"Cirripectes vanderbilti (Fowler, 1938)",Cirripectes vanderbilti,NA,US,prob. either Kauai I. or Maui I.,Hawaii,NA,1,66522820-055c-11d8-b84e-b8a03c50a862,22.0964396,-159.5261238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2395805,2395805,PRESERVED_SPECIMEN,CAS,ICH,22850,NA,"Williams, J. T.",NA,CC0_1_0,NA,"Needham, Paul R.",NA,NA,2019-09-20T18:05:10Z,NA,NA,United States
